id,instnm,st_fips,region,ccbasic,ccsizset,adm_rate,pplus_pct_low,pplus_pct_high,plus_debt_all_md,c150_4,c100_4,trans_4,c150_4_black,c150_4_hisp,c150_4_nhpi,c150_4_aian,c150_4_pell,ugds_black,ugds_hisp,ugds_aian,ugds_nhpi,ugds,ind_comp_orig_yr4_rt,lo_inc_comp_orig_yr4_rt,firstgen_comp_orig_yr4_rt,comp_orig_yr4_rt,wdraw_orig_yr3_rt,ind_wdraw_orig_yr3_rt,lo_inc_wdraw_orig_yr3_rt,firstgen_wdraw_orig_yr3_rt,cuml_debt_p10,cuml_debt_p25,cuml_debt_p75,cuml_debt_p90,npt41_pub,npt42_pub,npt43_pub,npt44_pub,npt45_pub,npt41_priv,npt42_priv,npt43_priv,npt44_priv,npt45_priv,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
325,The University of West Florida,12,5,18,12,0.5281,0,5,12378,0.5201,0.3485,0.0699,0.4158,0.5035,0.3333,0.4,0.4597,0.1038,0.1064,0.0044,0.0025,8881,0.426519337017,0.297348484848,0.283729009844,0.282264779351,0.274456521739,0.217741935484,0.282183316169,0.267779839208,3250,5500,23500,31921,4618,6805,9364,14579,13276,,,,,,9500,28719,66438,74300
326,Abraham Baldwin Agricultural College,13,5,23,10,0.7536,0,5,8630,0.3098,0.1936,0.4104,0.1455,0.3523,0,0.1667,0.2588,0.0843,0.0819,0.0024,0.0003,3323,0.179487179487,0.16704805492,0.217457886677,0.232774674115,0.297817715019,0.340175953079,0.355844155844,0.324368378158,2625,3996,14250,23644,4784,5862,8408,10953,10568,,,,,,8900,18967,51057,64500
327,Agnes Scott College,13,5,21,11,0.6985,10,15,25000,0.7454,0.6937,0,0.6591,0.8261,,1,0.7358,0.3317,0.152,0.002,0.002,1013,,0.642857142857,0.632,0.647321428571,0.190243902439,,0.233333333333,0.185483870968,5500,12000,27000,33000,,,,,,10428,10983,11838,15634,16436,8200,30587,69888,79600
328,Albany State University,13,5,19,13,,5,10,8879,0.2389,0.1132,0.4325,0.2535,0.1724,,0,0.2253,0.7884,0.0567,0.0016,0,5576,0.191906005222,0.175265017668,0.193650793651,0.200436681223,0.28631452581,0.264187866928,0.308934337998,0.298033282905,5500,10500,39000,49682,13745,14504,17669,18763,18967,,,,,,10300,21649,53940,61200
329,Point University,13,5,22,7,0.4656,5,15,14267,0.2895,0.2258,0,0.1807,0.4091,,0,0.2208,0.301,0.0693,0.0025,0.0025,794,0.338842975207,0.287671232877,0.311345646438,0.316115702479,0.319587628866,0.387096774194,0.353535353535,0.336043360434,2750,5500,27000,43000,,,,,,19194,20497,17257,20131,17858,8400,22514,56745,59500
330,Atlanta Metropolitan State College,13,5,23,6,,0,5,15000,0.2396,0,0.25,0.2457,0,,0,0.239,0.8521,0.0545,0.0007,0,1467,0.151111111111,0.112643678161,0.127053669222,0.124775583483,0.446725317693,0.408653846154,0.449367088608,0.454440599769,1750,2250,8500,14500,5984,6599,8683,11577,12330,,,,,,5400,17117,50082,54700
331,Clark Atlanta University,13,5,16,14,0.5824,50,55,44369,0.4155,0.2343,0.1739,0.4206,0,,0,0.4033,0.7793,0.0021,0.003,0,3376,0.391304347826,0.3228962818,0.351145038168,0.362992922144,0.17866215072,0.208955223881,0.200980392157,0.177521008403,4750,6500,31000,43500,,,,,,31709,32808,36065,38330,38413,6600,21428,61335,71600
332,Berry College,13,5,20,11,0.699,5,15,24786,0.7243,0.6632,0,0.7143,0.8182,,1,0.6691,0.0811,0.0894,0.0032,0,2170,,0.604651162791,0.626213592233,0.689737470167,0.055702917772,,,,5500,7775,27000,30750,,,,,,15879,16570,20381,22729,27037,10600,32173,73777,82500
333,Beulah Heights University,13,5,21,6,,0,5,,0.125,0.0625,0,0,0,,,0,0.6243,0.0331,0,0,181,,,,,0.267605633803,,,,,15834,50088,,,,,,,8433,,,,,3400,12774,47313,54600
334,Brenau University,13,5,17,9,0.8911,0,10,15975,0.4712,0.3879,0.2984,0.45,0.45,0,,0.375,0.2916,0.116,0.0023,0,1310,0.29274611399,0.271241830065,0.321576763485,0.343698854337,0.272727272727,0.299719887955,0.312925170068,0.277652370203,4059,6644,28187,40187,,,,,,24640,21703,19287,25079,19475,14600,32292,70391,77600
