school,c150_4_absolute,c150_4_relative,c150_4_pell_absolute,c150_4_pell_relative,c150_4_black_absolute,c150_4_black_relative,c150_4_hisp_absolute,c150_4_hisp_relative,c150_4_nhpi_absolute,c150_4_nhpi_relative,c150_4_aian_absolute,c150_4_aian_relative,ind_comp_orig_yr4_rt_absolute,ind_comp_orig_yr4_rt_relative,lo_inc_comp_orig_yr4_rt_absolute,lo_inc_comp_orig_yr4_rt_relative,firstgen_comp_orig_yr4_rt_absolute,firstgen_comp_orig_yr4_rt_relative,comp_orig_yr4_rt_absolute,comp_orig_yr4_rt_relative,ind_wdraw_orig_yr3_rt_absolute,ind_wdraw_orig_yr3_rt_relative,lo_inc_wdraw_orig_yr3_rt_absolute,lo_inc_wdraw_orig_yr3_rt_relative,firstgen_wdraw_orig_yr3_rt_absolute,firstgen_wdraw_orig_yr3_rt_relative,cuml_debt_p10_absolute,cuml_debt_p10_relative,cuml_debt_p25_absolute,cuml_debt_p25_relative,cuml_debt_p75_absolute,cuml_debt_p75_relative,cuml_debt_p90_absolute,cuml_debt_p90_relative,pct10_earn_wne_p10_absolute,pct10_earn_wne_p10_relative,pct25_earn_wne_p10_absolute,pct25_earn_wne_p10_relative,pct75_earn_wne_p10_absolute,pct75_earn_wne_p10_relative,pct90_earn_wne_p10_absolute,pct90_earn_wne_p10_relative,pplus_pct_low_absolute,pplus_pct_low_relative,pplus_pct_high_absolute,pplus_pct_high_relative,plus_debt_all_md_absolute,plus_debt_all_md_relative,wdraw_orig_yr3_rt_absolute,wdraw_orig_yr3_rt_relative,c100_4_absolute,c100_4_relative,trans_4_absolute,trans_4_relative,weighted_debt_absolute,weighted_debt_relative,weighted_income_absolute,weighted_income_relative,support_race_absolute,support_race_relative,support_eco_absolute,support_eco_relative
Northeastern University,0.9569716775599129,0.8988235294117647,0.9607954545454546,0.9441441441441442,0.957089552238806,0.9331742243436754,0.9401451027811366,0.9050925925925926,,,0.9042645778938208,0.7801418439716312,0.7098674521354934,0.7761194029850746,0.8310473815461347,0.756198347107438,0.8338577721837633,0.8131868131868132,0.8882586500283608,0.8021978021978022,0.6649572649572649,0.5111111111111111,0.9486081370449678,0.918580375782881,0.9121621621621622,0.8627450980392157,0.018475750577367205,0.013313609467455622,0.019068984856982614,0.021929824561403508,0.07851934941110487,0.07329842931937172,0.4105080831408776,0.2739273927392739,0.9138554216867469,0.9067164179104478,0.9625279642058165,0.9362186788154897,0.96398891966759,0.9422310756972112,0.9066265060240963,0.9114799446749654,0.9514457174031642,0.7939698492462312,0.8483360611020185,0.9169811320754717,0.1928374655647383,0.4166666666666667,0.9405997693194925,0.892925430210325,0.014722536806342015,0.0035971223021582736,0.5980392156862745,0.5522727272727272,0.017857142857142856,0.015180265654648957,0.964308476736775,0.8690909090909091,,,0.10220440881763528,0.11448598130841121
College of Our Lady of the Elms,0.7342047930283224,0.7159090909090909,0.7113636363636363,0.793400286944046,0.7705223880597015,0.8252788104089219,0.7001209189842805,0.6760168302945302,,,,,0.946980854197349,0.9589552238805971,0.8908977556109726,0.8471074380165289,0.8621774701069855,0.847723704866562,0.8457175269427113,0.7417582417582418,,,,,,,0.1374133949191686,0.015901060070671377,0.04374649467190129,0.021015761821366025,0.18452047111609646,0.18064516129032257,0.5513856812933026,0.542649727767695,0.7728915662650603,0.791907514450867,0.7041387024608501,0.7154696132596685,0.6360110803324099,0.547808764940239,0.3608433734939759,0.3305227655986509,0.381342062193126,0.47324414715719065,0.19530823786142934,0.25660377358490566,0.27548209366391185,0.55,0.961361014994233,0.9292543021032504,0.7950169875424689,0.7787769784172662,0.2739651416122004,0.2557651991614256,0.0769704433497537,0.09375,0.65710643722116,0.7246192893401016,,,,
Pine Manor College,0.0528322440087146,0.10227272727272728,0.07954545454545454,0.08895265423242468,0.17350746268656717,0.17843866171003717,0.0592503022974607,0.0975103734439834,,,0.047867711053089644,0.18118466898954705,,,,,,,0.06296086216676121,0.04395604395604396,,,0.20199857244825126,0.30033003300330036,,,0.8775981524249422,0.8657142857142858,0.7605159842961301,0.6649214659685864,0.5692652832305104,0.5613079019073569,0.16570438799076212,0.1705989110707804,0.522289156626506,0.5064456721915286,0.2080536912751678,0.26884779516358465,0.10526315789473684,0.045816733067729085,0.15180722891566265,0.059233449477351915,0.09056192034915439,0.1466992665036675,0.022913256955810146,0.07703281027104136,0.8231404958677686,0.7987152034261242,0.2370242214532872,0.12045889101338432,0.11834654586636467,0.04136690647482014,0.6072984749455338,0.575,0.6742610837438424,0.6647398843930635,0.13702995538559593,0.2029598308668076,,,,
Regis College,0.6045751633986928,0.593103448275862,0.4971590909090909,0.4323076923076923,0.5522388059701493,0.6030534351145038,0.6922611850060459,0.8266666666666667,,,,,0.9668630338733432,0.9794661190965093,0.78428927680798,0.8042049934296978,0.8162366268093141,0.792778649921507,0.7685762904140669,0.6428571428571429,,,0.8379728765167738,0.8564593301435407,,,0.1426096997690531,0.012367491166077738,0.07908020190689849,0.09642301710730948,0.09366236679753225,0.07582260371959942,0.098729792147806,0.0462046204620462,0.46566265060240963,0.4699792960662526,0.3976510067114094,0.3411602209944751,0.7811634349030471,0.7793017456359103,0.5397590361445783,0.5698478561549101,0.3960720130932897,0.680327868852459,0.19476268412438624,0.46219686162624823,0.2705234159779614,0.5466666666666666,0.8673587081891581,0.7762906309751434,0.7231030577576444,0.8211586901763224,0.35185185185185186,0.34545454545454546,0.02401477832512315,0.024390243902439025,0.5761631612492033,0.6345177664974619,,,,
Salem State University,0.5277777777777778,0.4896551724137931,0.6403409090909091,0.6,0.7307213930348259,0.7825278810408922,0.5550181378476421,0.6911111111111111,,,0.7127937336814621,0.682,0.7650957290132547,0.7983870967741935,0.6109725685785536,0.6970740103270223,0.5827564505978603,0.5427974947807933,0.5626772546795236,0.5873925501432665,0.8102564102564103,0.7854545454545454,0.6523911491791577,0.7094240837696335,0.5900900900900901,0.621832358674464,0.365473441108545,0.3269230769230769,0.3550196298373528,0.3230994152046784,0.32809871003925967,0.45779685264663805,0.45958429561200925,0.3432343234323432,0.4493975903614458,0.45134575569358176,0.3920581655480984,0.31662870159453305,0.6620498614958449,0.7183308494783904,0.39457831325301207,0.17421602787456447,0.41080196399345337,0.6325136612021858,0.5384615384615384,0.3886792452830189,0.46942148760330576,0.5044378698224852,0.5415224913494809,0.503030303030303,0.5317100792751982,0.6297229219143576,0.8785403050108932,0.6795454545454546,0.3497536945812808,0.3723577235772358,0.4964945825366475,0.5037037037037037,,,0.969939879759519,0.9706666666666667
Simmons University,0.775599128540305,0.7711738484398217,0.8295454545454546,0.8215384615384616,0.9353233830845771,0.9516728624535316,0.7466747279322854,0.7233333333333334,0.8539765319426337,0.7653958944281525,0.2924281984334204,0.2912280701754386,0.8571428571428571,0.8694029850746269,0.6103491271820449,0.6953528399311532,0.5034612964128382,0.5523329129886507,0.49404424276800907,0.5340699815837937,,,0.6723768736616702,0.618595825426945,0.41816816816816815,0.29901960784313725,0.1489607390300231,0.026501766784452298,0.04318564217610768,0.01926444833625219,0.3275378575434661,0.4563662374821173,0.7367205542725174,0.6798679867986799,0.7825301204819277,0.7370892018779343,0.8389261744966443,0.8908839779005525,0.824376731301939,0.886736214605067,0.7644578313253012,0.7639123102866779,0.4157119476268412,0.6434426229508197,0.5368248772504092,0.3758169934640523,0.36308539944903584,0.39201183431952663,0.34256055363321797,0.2590909090909091,0.8595696489241224,0.8453237410071942,0.5010893246187363,0.4674698795180723,0.17549261083743842,0.17886178861788618,0.8604206500956023,0.9035608308605341,0.6966824644549763,0.7111111111111111,,
Bard College at Simon's Rock,0.7598039215686274,0.7340909090909091,0.8352272727272727,0.8307692307692308,0.806592039800995,0.8605947955390335,0.9885126964933495,0.9605809128630706,,,,,,,0.7524937655860349,0.7700394218134035,0.8042794210195091,0.8600252206809584,0.7543959160521838,0.6153846153846154,0.2905982905982906,0.2330508474576271,0.6452533904354033,0.656140350877193,0.6959459459459459,0.6102941176470589,0.15184757505773672,0.07950530035335689,0.15367358384744811,0.12084063047285463,0.32697700504767246,0.4550408719346049,0.8227482678983834,0.8130671506352087,0.09096385542168675,0.03757225433526012,0.14429530201342283,0.16358463726884778,0.4376731301939058,0.35286783042394015,0.4512048192771084,0.20905923344947736,0.4064375340971086,0.6583969465648855,0.5231860338243317,0.45454545454545453,0.21928374655647384,0.4633333333333333,0.5876585928489043,0.4168260038240918,,,0.5038126361655774,0.45454545454545453,0.2604679802955665,0.26991869918699185,0.21733588272785215,0.3128964059196617,,,,
Smith College,0.9591503267973857,0.9181818181818182,0.9585227272727272,0.9554730983302412,0.9322139303482587,0.9479553903345725,0.9552599758162031,0.9635343618513323,,,0.9033942558746736,0.8761261261261262,,,0.9981296758104738,1.0,0.9893014474512272,0.9874411302982732,0.9841179807146909,0.9688644688644689,,,,,,,0.010392609699769052,0.0073964497041420114,0.028042624789680313,0.04043545878693624,0.7588334268087493,0.8002610966057441,0.8816397228637414,0.8778877887788779,0.4650602409638554,0.427255985267035,0.7074944071588367,0.7809388335704125,0.7301939058171745,0.6533864541832669,0.6632530120481928,0.6998616874135546,0.9498090561920349,0.7520938023450586,0.5117294053464266,0.6037735849056604,0.1977961432506887,0.42,0.9884659746251442,0.982791586998088,0.9671574178935447,0.9573770491803278,0.5789760348583878,0.5614457831325301,0.41379310344827586,0.49516129032258066,0.7080943275971957,0.6517150395778364,,,,
Springfield College,0.8164488017429193,0.7727272727272727,0.7511363636363636,0.8393113342898135,0.7991293532338308,0.8070175438596491,0.8361547762998791,0.8330995792426368,0.8800521512385919,0.7127371273712737,0.9164490861618799,0.8333333333333334,0.32106038291605304,0.2721774193548387,0.4644638403990025,0.5283993115318416,0.5512901195720579,0.5977301387137453,0.6262053318207601,0.666189111747851,0.4239316239316239,0.3563636363636364,0.5017844396859387,0.4665071770334928,0.7057057057057057,0.762278978388998,0.151270207852194,0.0425531914893617,0.08468872686483454,0.1057542768273717,0.32585530005608526,0.5274151436031331,0.5444572748267898,0.42244224422442245,0.686144578313253,0.6071987480438185,0.4546979865771812,0.3531409168081494,0.41329639889196673,0.39344262295081966,0.6036144578313253,0.581787521079258,0.397708674304419,0.6762295081967213,0.27495908346972175,0.5035663338088445,0.29146005509641876,0.392226148409894,0.7214532871972318,0.7121212121212122,0.8799546998867497,0.8687050359712231,0.8779956427015251,0.6772727272727272,0.2001231527093596,0.23709677419354838,0.4474187380497132,0.3407707910750507,0.6524486571879937,0.6777777777777778,0.02004008016032064,0.020491803278688523
University of Massachusetts-Dartmouth,0.4760348583877996,0.4799405646359584,0.4965909090909091,0.4857142857142857,0.6424129353233831,0.6044657097288676,0.3954050785973398,0.3,,,0.4247171453437772,0.322,0.7128129602356407,0.7358870967741935,0.5822942643391521,0.6609294320137694,0.5298930144745123,0.48851774530271397,0.5224049914917753,0.5546875,0.8136752136752137,0.6805555555555556,0.7102069950035689,0.6641366223908919,0.6516516516516516,0.6783625730994152,0.2909930715935335,0.2588757396449704,0.4083006169377454,0.3406432748538012,0.32529444756029163,0.41379310344827586,0.5508083140877598,0.5872093023255814,0.6885542168674699,0.6291079812206573,0.4988814317673378,0.4074702886247878,0.7506925207756233,0.7481296758104738,0.630722891566265,0.5662650602409639,0.3993453355155483,0.520066889632107,0.2896890343698854,0.14339622641509434,0.5052341597796143,0.5369822485207101,0.6089965397923875,0.6269284712482468,0.485277463193658,0.45323741007194246,0.1454248366013072,0.08433734939759036,0.3688423645320197,0.3983739837398374,0.6335245379222435,0.6666666666666666,,,0.7735470941883767,0.7218225419664268
Stonehill College,0.923202614379085,0.8522727272727273,0.9056818181818181,0.9184615384615384,0.8041044776119403,0.8133971291866029,0.7956469165659008,0.788218793828892,,,,,,,0.9339152119700748,0.8987603305785123,0.9565764631843927,0.945054945054945,0.9466817923993194,0.8956043956043956,,,,,0.918918918918919,0.9339853300733496,0.15069284064665128,0.08579881656804733,0.005608524957936063,0.007776049766718507,0.3331463825014021,0.5352480417754569,0.8793302540415704,0.858085808580858,0.9728915662650602,0.9650092081031307,0.9496644295302014,0.9451219512195121,0.925207756232687,0.8904382470119522,0.8716867469879518,0.8893499308437067,0.4015275504637207,0.6507633587786259,0.28914348063284234,0.49072753209700426,0.03305785123966942,0.05,0.9025374855824683,0.8298279158699808,0.948471121177803,0.9442446043165468,0.474400871459695,0.42891566265060244,0.2210591133004926,0.25806451612903225,0.9490121096239643,0.945910290237467,,,,
Suffolk University,0.5953159041394336,0.5775862068965517,0.696590909090909,0.6538461538461539,0.7562189054726368,0.8122676579925651,0.5574365175332527,0.4766666666666667,0.8813559322033898,0.9425837320574163,0.7362924281984334,0.7635135135135135,0.8954344624447718,0.9067164179104478,0.7986284289276808,0.8160315374507228,0.7262429200755192,0.7793190416141236,0.6721497447532615,0.5128205128205128,,,0.8236973590292648,0.8649122807017544,0.8138138138138138,0.7352941176470589,0.15011547344110854,0.06537102473498234,0.29949523275378576,0.28546409807355516,0.32922041503084687,0.4492131616595136,0.38799076212471134,0.25412541254125415,0.7759036144578313,0.7991329479768786,0.7197986577181208,0.6309794988610479,0.8470914127423823,0.9046199701937406,0.810843373493976,0.8161888701517707,0.4026186579378069,0.6161202185792349,0.2885979268957992,0.22875816993464052,0.1349862258953168,0.25666666666666665,0.7474048442906575,0.7484848484848485,0.6155152887882219,0.5949764521193093,0.2173202614379085,0.2545454545454545,0.27032019704433496,0.27967479674796747,0.8126195028680688,0.857566765578635,0.6145339652448657,0.6473029045643154,,
Tufts University,0.9765795206971678,0.9435294117647058,0.9806818181818182,0.9855855855855856,0.9490049751243781,0.9140811455847255,0.9437726723095526,0.9166666666666666,,,,,,,0.9956359102244389,0.9979338842975206,0.9861548143486469,0.9827315541601256,0.9835507657402155,0.967032967032967,,,,,,,0.45381062355658197,0.4171597633136095,0.3370723499719574,0.3084795321637427,0.7958496915311273,0.8115183246073299,0.9058891454965358,0.9537953795379538,0.9457831325301205,0.9496268656716418,0.8674496644295302,0.8607809847198642,0.9473684210526315,0.9203187250996016,0.9795180722891567,0.9407665505226481,0.9487179487179487,0.7537688442211056,0.84506273867976,0.9283018867924528,0.0721763085399449,0.11666666666666667,0.9855824682814303,0.9789674952198852,0.9875424688561721,0.9882352941176471,0.5806100217864923,0.5272727272727272,0.6336206896551724,0.7817836812144212,0.9343530911408541,0.7818181818181819,,,,
Wellesley College,0.9656862745098039,0.9386363636363636,0.9704545454545455,0.9758812615955473,0.9664179104477612,0.9702602230483272,0.9334945586457074,0.8912037037037037,,,0.9329852045256745,0.8873873873873874,,,0.9937655860349127,0.993801652892562,,,0.9863868406125922,0.9725274725274725,,,,,,,0.8920323325635104,0.900887573964497,0.8614694335389792,0.8786549707602339,0.925967470555244,0.9516971279373369,0.9509237875288684,0.9933993399339934,0.9108433734939759,0.9171270718232044,0.9155480984340044,0.9070121951219512,0.949584487534626,0.9262948207171314,0.9246987951807228,0.9322268326417704,0.9481723949809057,0.7504187604690117,0.8445171849427169,0.9320754716981132,0.07548209366391184,0.12333333333333334,0.9798154555940023,0.9674952198852772,0.9620611551528879,0.9459016393442623,0.8774509803921569,0.653012048192771,0.9341133004926109,0.9580645161290322,0.9464627151051626,0.941952506596306,,,,
